"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","task","item_name"
"true","false","[]","[]","[]","preload","0","1466","0.0-0.0","","","","",""
"","","","","","html-button-response","1","7396","0.0-1.0","5928","<div style=""font-size:32px;"">
               <p>Welcome to the experiment.</p> 
               <p>Tap ""START"" to begin.</p>
               </div>
               ","0","welcome",""
"true","","","","","fullscreen","2","9599","0.0-2.0","","","","",""
"","","","","","html-button-response","3","95613","0.0-3.0","86010","
    <div style=""font-size:24px;"">
    <div style='float: center;'><img src='img/un.png' width=""320"" height=""240""></img>  
    <p>In this part of the experiment, you will be shown a set of flags corresponding to UN member countries.</p>
    <p>You will be asked if you can name the country the flag belongs to.</p>
    <p>Tap YES if you recognize to which country the flag belongs to or NO if you do not.</p>     
    </div>
    <p>Tap ""START"" to begin.</p>
    </div>
    ","0","pretest_instructions",""
"","","","","","html-keyboard-response","4","96382","0.0-4.0-0.0","null","<div style=""font-size:120px;"">+</div>
              ","null","fixation",""
"","","","","","image-button-response","5","102933","0.0-4.0-1.0","6520","img/jo.png","1","pretest","JORDAN"
"","","","","","html-keyboard-response","6","103449","0.0-4.0-0.1","null","<div style=""font-size:120px;"">+</div>
              ","null","fixation",""
"","","","","","image-button-response","7","112052","0.0-4.0-1.1","8598","img/by.png","0","pretest","BELARUS"
"","","","","","html-keyboard-response","8","112554","0.0-4.0-0.2","null","<div style=""font-size:120px;"">+</div>
              ","null","fixation",""
"","","","","","image-button-response","9","120548","0.0-4.0-1.2","7990","img/bz.png","0","pretest","BELIZE"
"","","","","","html-keyboard-response","10","121052","0.0-4.0-0.3","null","<div style=""font-size:120px;"">+</div>
              ","null","fixation",""
"","","","","","image-button-response","11","134533","0.0-4.0-1.3","13477","img/mh.png","1","pretest","MARSHALL ISLANDS"
"","","","","","html-keyboard-response","12","135050","0.0-4.0-0.4","null","<div style=""font-size:120px;"">+</div>
              ","null","fixation",""
"","","","","","image-button-response","13","142268","0.0-4.0-1.4","7215","img/ge.png","0","pretest","GEORGIA"
"","","","","","html-keyboard-response","14","142783","0.0-4.0-0.5","null","<div style=""font-size:120px;"">+</div>
              ","null","fixation",""
"","","","","","image-button-response","15","150956","0.0-4.0-1.5","8169","img/bb.png","0","pretest","BARBADOS"
"","","","","","html-keyboard-response","16","151469","0.0-4.0-0.6","null","<div style=""font-size:120px;"">+</div>
              ","null","fixation",""
"","","","","","image-button-response","17","158636","0.0-4.0-1.6","7164","img/sk.png","0","pretest","SLOVAKIA"
"","","","","","html-keyboard-response","18","159150","0.0-4.0-0.7","null","<div style=""font-size:120px;"">+</div>
              ","null","fixation",""
"","","","","","image-button-response","19","165867","0.0-4.0-1.7","6713","img/cf.png","0","pretest","CENTRAL AFRICAN REPUBLIC"
"","","","","","html-keyboard-response","20","166378","0.0-4.0-0.8","null","<div style=""font-size:120px;"">+</div>
              ","null","fixation",""
"","","","","","image-button-response","21","175764","0.0-4.0-1.8","9383","img/li.png","0","pretest","LIECHTENSTEIN"
"","","","","","html-keyboard-response","22","176275","0.0-4.0-0.9","null","<div style=""font-size:120px;"">+</div>
              ","null","fixation",""
"","","","","","image-button-response","23","189403","0.0-4.0-1.9","13125","img/kz.png","0","pretest","KAZAKHSTAN"
"","","","","","html-keyboard-response","24","189905","0.0-4.0-0.10","null","<div style=""font-size:120px;"">+</div>
              ","null","fixation",""
"","","","","","image-button-response","25","205035","0.0-4.0-1.10","15127","img/cz.png","0","pretest","CZECHIA"
"","","","","","html-keyboard-response","26","205540","0.0-4.0-0.11","null","<div style=""font-size:120px;"">+</div>
              ","null","fixation",""
"","","","","","image-button-response","27","215572","0.0-4.0-1.11","10029","img/la.png","0","pretest","LAOS"
"","","","","","html-keyboard-response","28","216085","0.0-4.0-0.12","null","<div style=""font-size:120px;"">+</div>
              ","null","fixation",""
"","","","","","image-button-response","29","226187","0.0-4.0-1.12","10101","img/ad.png","0","pretest","ANDORRA"
"","","","","","html-keyboard-response","30","226700","0.0-4.0-0.13","null","<div style=""font-size:120px;"">+</div>
              ","null","fixation",""
"","","","","","image-button-response","31","236866","0.0-4.0-1.13","10158","img/pk.png","0","pretest","PAKISTAN"
"","","","","","html-keyboard-response","32","237375","0.0-4.0-0.14","null","<div style=""font-size:120px;"">+</div>
              ","null","fixation",""
"","","","","","image-button-response","33","247780","0.0-4.0-1.14","10402","img/in.png","1","pretest","INDIA"
"","","","","","html-keyboard-response","34","248282","0.0-4.0-0.15","null","<div style=""font-size:120px;"">+</div>
              ","null","fixation",""
"","","","","","image-button-response","35","252885","0.0-4.0-1.15","4600","img/ch.png","1","pretest","SWITZERLAND"
"","","","","","html-keyboard-response","36","253399","0.0-4.0-0.16","null","<div style=""font-size:120px;"">+</div>
              ","null","fixation",""
"","","","","","image-button-response","37","260364","0.0-4.0-1.16","6961","img/do.png","1","pretest","DOMINICAN REPUBLIC"
"","","","","","html-keyboard-response","38","260869","0.0-4.0-0.17","null","<div style=""font-size:120px;"">+</div>
              ","null","fixation",""
"","","","","","image-button-response","39","264188","0.0-4.0-1.17","3316","img/rw.png","1","pretest","RWANDA"
"","","","","","html-keyboard-response","40","264700","0.0-4.0-0.18","null","<div style=""font-size:120px;"">+</div>
              ","null","fixation",""
"","","","","","image-button-response","41","269597","0.0-4.0-1.18","4894","img/kw.png","1","pretest","KUWAIT"
"","","","","","html-keyboard-response","42","270106","0.0-4.0-0.19","null","<div style=""font-size:120px;"">+</div>
              ","null","fixation",""
"","","","","","image-button-response","43","278876","0.0-4.0-1.19","8767","img/nl.png","1","pretest","NETHERLANDS"
